target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M2_Core_Salinity,Lasso,LOG1P,14,-0.303814,2.462924,1.397122
Ni_num,M2_Core_Salinity,Lasso,LOG1P,15,-0.296375,0.698254,0.596513
Ni_num,M2_Core_Salinity,Lasso,LOG1P,16,-0.016689,2.398547,1.292023
Ni_num,M2_Core_Salinity,Lasso,LOG1P,17,0.748871,0.614264,0.533117
Ni_num,M2_Core_Salinity,Lasso,LOG1P,18,0.672311,0.780181,0.699768
Ni_num,M2_Core_Salinity,Lasso,LOG1P,19,0.3618,0.843323,0.694304
Ni_num,M2_Core_Salinity,Lasso,LOG1P,20,0.038727,2.817795,1.762351
Ni_num,M2_Core_Salinity,Lasso,LOG1P,21,0.177134,0.623542,0.540969
Ni_num,M2_Core_Salinity,Lasso,LOG1P,22,0.328264,1.796928,1.275888
Ni_num,M2_Core_Salinity,Lasso,LOG1P,23,0.666554,0.761125,0.637882
Ni_num,M2_Core_Salinity,Lasso,LOG1P,24,0.152549,2.352752,1.422064
Ni_num,M2_Core_Salinity,Lasso,LOG1P,25,-0.230717,2.369589,1.17017
Ni_num,M2_Core_Salinity,Lasso,RAW,1,-1.961286,1.689224,1.265124
Ni_num,M2_Core_Salinity,Lasso,RAW,2,0.158586,1.163849,0.959981
Ni_num,M2_Core_Salinity,Lasso,RAW,3,-0.509088,2.778136,1.917107
Ni_num,M2_Core_Salinity,Lasso,RAW,4,-0.013485,2.751496,1.890656
Ni_num,M2_Core_Salinity,Lasso,RAW,5,0.67846,0.7122,0.618505
Ni_num,M2_Core_Salinity,Lasso,RAW,6,-0.218484,1.270326,0.977954
Ni_num,M2_Core_Salinity,Lasso,RAW,7,0.17676,2.105229,1.558771
Ni_num,M2_Core_Salinity,Lasso,RAW,8,0.245726,2.023669,1.085539
Ni_num,M2_Core_Salinity,Lasso,RAW,9,-11.246044,0.810131,0.752678
Ni_num,M2_Core_Salinity,Lasso,RAW,10,-0.573176,2.59465,1.661343
