target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,RAW,40,-15.1196,-1.0632,38.9191,3.6987,2.3048,-0.2048,0,0.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Ridge,LOG1P,40,-2.6075,-0.3455,8.2589,2.901,1.5984,-0.1189,2,8.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,RAW,40,-12.1115,-0.6809,33.3384,3.4018,2.1429,-0.2015,0,0.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,ElasticNet,LOG1P,40,-1.661,-0.177,6.1449,2.7487,1.4969,-0.0118,3,12.0
Mn_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,RAW,40,-0.4667,-0.2447,0.8424,0.9528,0.6086,0.302,4,16.0
Mn_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,LOG1P,40,-0.6371,-0.2289,1.3368,0.9633,0.6189,0.317,6,24.0
Mn_num,E1,E1_Min2_FieldOnly,2,PLS,RAW,40,-1.2297,-0.1812,2.2684,0.9786,0.7178,0.2346,6,24.0
Mn_num,E1,E1_Min2_FieldOnly,2,PLS,LOG1P,40,-0.6441,-0.1636,1.2328,0.9438,0.638,0.3162,9,36.0
Mn_num,E1,E1_Min2_FieldOnly,2,Lasso,RAW,40,-1.0847,-0.1733,1.7731,0.9808,0.7262,0.0219,3,12.0
Mn_num,E1,E1_Min2_FieldOnly,2,Lasso,LOG1P,40,-0.3939,-0.1588,0.4929,0.9395,0.6326,-0.0076,1,4.0
Mn_num,E1,E1_Min2_FieldOnly,2,Ridge,RAW,40,-1.2065,-0.1791,2.2096,0.9775,0.718,0.2283,6,24.0
Mn_num,E1,E1_Min2_FieldOnly,2,Ridge,LOG1P,40,-0.6124,-0.1631,1.152,0.9419,0.6369,0.3105,9,36.0
Mn_num,E1,E1_Min2_FieldOnly,2,ElasticNet,RAW,40,-1.1243,-0.1905,1.911,0.9795,0.7248,0.1315,5,20.0
Mn_num,E1,E1_Min2_FieldOnly,2,ElasticNet,LOG1P,40,-0.4164,-0.1934,0.6106,0.9336,0.6305,0.2309,5,20.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,RAW,40,-0.713,-0.2841,1.6471,0.9871,0.6398,0.1357,3,12.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,LOG1P,40,-0.9641,-0.3429,2.1306,1.0122,0.6668,0.1116,2,8.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,RAW,40,-1.6183,-0.2377,2.8967,1.0339,0.7538,0.1857,4,16.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,LOG1P,40,-0.8498,-0.2293,1.594,0.9774,0.6639,0.2833,5,20.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,RAW,40,-1.1683,-0.2072,1.8257,0.9958,0.7403,-0.0031,2,8.0
