target,fold,config,model,observed,predicted,residual,abs_residual
As_num,4,M1_Core,ExtraTrees,0.25,1.2442,-0.9942,0.9942
As_num,4,M1_Core,ExtraTrees,1.7,2.9136,-1.2136,1.2136
As_num,4,M1_Core,ExtraTrees,28.7,0.6812,28.0188,28.0188
As_num,4,M7_TargetSpecific_Selected,Ridge,0.8,1.8247,-1.0247,1.0247
As_num,4,M7_TargetSpecific_Selected,Ridge,1.9,0.3283,1.5717,1.5717
As_num,4,M7_TargetSpecific_Selected,Ridge,4.0,1.0928,2.9072,2.9072
As_num,4,M7_TargetSpecific_Selected,Ridge,0.25,3.0525,-2.8025,2.8025
As_num,4,M7_TargetSpecific_Selected,Ridge,0.25,2.8968,-2.6468,2.6468
As_num,4,M7_TargetSpecific_Selected,Ridge,0.25,2.2242,-1.9742,1.9742
As_num,4,M7_TargetSpecific_Selected,Ridge,1.7,1.2707,0.4293,0.4293
As_num,4,M7_TargetSpecific_Selected,Ridge,28.7,1.724,26.976,26.976
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,0.8,0.7421,0.0579,0.0579
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,1.9,0.2202,1.6798,1.6798
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,4.0,0.6126,3.3874,3.3874
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.0984,-0.8484,0.8484
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.1727,-0.9227,0.9227
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.0704,-0.8204,0.8204
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,1.7,0.5533,1.1467,1.1467
As_num,4,M7_TargetSpecific_Selected,HuberRegressor,28.7,0.6922,28.0078,28.0078
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,0.8,1.4169,-0.6169,0.6169
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,1.9,0.6073,1.2927,1.2927
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,4.0,0.6219,3.3781,3.3781
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,0.25,11.622,-11.372,11.372
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,0.25,8.1498,-7.8998,7.8998
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.6983,-1.4483,1.4483
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,1.7,1.0387,0.6613,0.6613
As_num,4,M7_TargetSpecific_Selected,ExtraTrees,28.7,1.1465,27.5535,27.5535
As_num,5,M1_Core,Ridge,1.0,0.0,1.0,1.0
As_num,5,M1_Core,Ridge,0.25,1.3914,-1.1414,1.1414
As_num,5,M1_Core,Ridge,1.9,1.1372,0.7628,0.7628
As_num,5,M1_Core,Ridge,0.25,1.6354,-1.3854,1.3854
As_num,5,M1_Core,Ridge,0.25,1.0587,-0.8087,0.8087
As_num,5,M1_Core,Ridge,0.6,5.5884,-4.9884,4.9884
As_num,5,M1_Core,Ridge,0.9,2.7629,-1.8629,1.8629
As_num,5,M1_Core,Ridge,12.3,0.9264,11.3736,11.3736
As_num,5,M1_Core,HuberRegressor,1.0,0.1674,0.8326,0.8326
As_num,5,M1_Core,HuberRegressor,0.25,0.7128,-0.4628,0.4628
As_num,5,M1_Core,HuberRegressor,1.9,0.5628,1.3372,1.3372
As_num,5,M1_Core,HuberRegressor,0.25,0.7572,-0.5072,0.5072
As_num,5,M1_Core,HuberRegressor,0.25,0.5383,-0.2883,0.2883
As_num,5,M1_Core,HuberRegressor,0.6,3.0222,-2.4222,2.4222
As_num,5,M1_Core,HuberRegressor,0.9,1.3938,-0.4938,0.4938
As_num,5,M1_Core,HuberRegressor,12.3,0.5076,11.7924,11.7924
As_num,5,M1_Core,ExtraTrees,1.0,0.4923,0.5077,0.5077
As_num,5,M1_Core,ExtraTrees,0.25,0.7384,-0.4884,0.4884
As_num,5,M1_Core,ExtraTrees,1.9,1.2508,0.6492,0.6492
As_num,5,M1_Core,ExtraTrees,0.25,1.3134,-1.0634,1.0634
As_num,5,M1_Core,ExtraTrees,0.25,0.8672,-0.6172,0.6172
As_num,5,M1_Core,ExtraTrees,0.6,3.3327,-2.7327,2.7327
As_num,5,M1_Core,ExtraTrees,0.9,1.6802,-0.7802,0.7802
As_num,5,M1_Core,ExtraTrees,12.3,1.5083,10.7917,10.7917
As_num,5,M7_TargetSpecific_Selected,Ridge,1.0,0.0,1.0,1.0
As_num,5,M7_TargetSpecific_Selected,Ridge,0.25,2.0148,-1.7648,1.7648
As_num,5,M7_TargetSpecific_Selected,Ridge,1.9,0.0931,1.8069,1.8069
As_num,5,M7_TargetSpecific_Selected,Ridge,0.25,2.6316,-2.3816,2.3816
As_num,5,M7_TargetSpecific_Selected,Ridge,0.25,1.518,-1.268,1.268
As_num,5,M7_TargetSpecific_Selected,Ridge,0.6,10.284,-9.684,9.684
As_num,5,M7_TargetSpecific_Selected,Ridge,0.9,3.1005,-2.2005,2.2005
As_num,5,M7_TargetSpecific_Selected,Ridge,12.3,1.7817,10.5183,10.5183
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,1.0,0.0163,0.9837,0.9837
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6052,-0.3552,0.3552
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,1.9,0.0,1.9,1.9
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.1874,-0.9374,0.9374
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.0256,-0.7756,0.7756
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,0.6,5.8844,-5.2844,5.2844
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,0.9,1.6128,-0.7128,0.7128
As_num,5,M7_TargetSpecific_Selected,HuberRegressor,12.3,0.9909,11.3091,11.3091
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,1.0,0.5551,0.4449,0.4449
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.5235,-1.2735,1.2735
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,1.9,0.7065,1.1935,1.1935
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.8195,-1.5695,1.5695
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.9058,-0.6558,0.6558
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,0.6,2.5555,-1.9555,1.9555
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,0.9,3.2947,-2.3947,2.3947
As_num,5,M7_TargetSpecific_Selected,ExtraTrees,12.3,1.8346,10.4654,10.4654
As_num,6,M1_Core,Ridge,0.8,0.0,0.8,0.8
As_num,6,M1_Core,Ridge,0.25,1.7639,-1.5139,1.5139
As_num,6,M1_Core,Ridge,0.25,1.2186,-0.9686,0.9686
As_num,6,M1_Core,Ridge,0.25,1.6397,-1.3897,1.3897
As_num,6,M1_Core,Ridge,0.25,2.1943,-1.9443,1.9443
As_num,6,M1_Core,Ridge,0.5,0.9825,-0.4825,0.4825
As_num,6,M1_Core,Ridge,5.5,4.4643,1.0357,1.0357
As_num,6,M1_Core,Ridge,0.25,4.7821,-4.5321,4.5321
As_num,6,M1_Core,HuberRegressor,0.8,0.0,0.8,0.8
As_num,6,M1_Core,HuberRegressor,0.25,0.8428,-0.5928,0.5928
As_num,6,M1_Core,HuberRegressor,0.25,0.6776,-0.4276,0.4276
As_num,6,M1_Core,HuberRegressor,0.25,0.9824,-0.7324,0.7324
As_num,6,M1_Core,HuberRegressor,0.25,1.3167,-1.0667,1.0667
As_num,6,M1_Core,HuberRegressor,0.5,0.6735,-0.1735,0.1735
As_num,6,M1_Core,HuberRegressor,5.5,2.4444,3.0556,3.0556
As_num,6,M1_Core,HuberRegressor,0.25,2.8496,-2.5996,2.5996
As_num,6,M1_Core,ExtraTrees,0.8,0.2968,0.5032,0.5032
As_num,6,M1_Core,ExtraTrees,0.25,2.2083,-1.9583,1.9583
As_num,6,M1_Core,ExtraTrees,0.25,2.4936,-2.2436,2.2436
As_num,6,M1_Core,ExtraTrees,0.25,0.661,-0.411,0.411
As_num,6,M1_Core,ExtraTrees,0.25,1.9046,-1.6546,1.6546
As_num,6,M1_Core,ExtraTrees,0.5,0.786,-0.286,0.286
As_num,6,M1_Core,ExtraTrees,5.5,2.6644,2.8356,2.8356
As_num,6,M1_Core,ExtraTrees,0.25,2.3293,-2.0793,2.0793
As_num,6,M7_TargetSpecific_Selected,Ridge,0.8,0.0507,0.7493,0.7493
As_num,6,M7_TargetSpecific_Selected,Ridge,0.25,1.8813,-1.6313,1.6313
As_num,6,M7_TargetSpecific_Selected,Ridge,0.25,1.1161,-0.8661,0.8661
As_num,6,M7_TargetSpecific_Selected,Ridge,0.25,1.9962,-1.7462,1.7462
As_num,6,M7_TargetSpecific_Selected,Ridge,0.25,2.2319,-1.9819,1.9819
As_num,6,M7_TargetSpecific_Selected,Ridge,0.5,0.7287,-0.2287,0.2287
As_num,6,M7_TargetSpecific_Selected,Ridge,5.5,3.6203,1.8797,1.8797
As_num,6,M7_TargetSpecific_Selected,Ridge,0.25,3.5915,-3.3415,3.3415
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.8,0.0,0.8,0.8
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.9288,-0.6788,0.6788
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6944,-0.4444,0.4444
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.0963,-0.8463,0.8463
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.3816,-1.1316,1.1316
As_num,6,M7_TargetSpecific_Selected,HuberRegressor,0.5,0.7195,-0.2195,0.2195
