target,feature_set,model,raw_r2,log1p_r2,delta_r2,raw_rmse,log1p_rmse,delta_rmse,raw_spearman_rho,log1p_spearman_rho,delta_spearman_rho
Cd,Set A (FULL),ExtraTrees,-2.3025727990259766,,,17.063477504297317,,,0.14502814258911823,,
Cd,Set A (FULL),GradientBoosting,-3.5792922730079635,,,19.319831107443004,,,0.17936210131332084,,
Cd,Set A (FULL),Lasso,-12.427753099727763,,,26.121949283848693,,,-0.003939962476547843,,
Cd,Set A (FULL),RandomForest,-3.633904773500655,,,18.78897036534774,,,0.06435272045028143,,
Cd,Set A (FULL),Ridge,-8.540123104017825,,,21.714336991504737,,,0.01575984990619137,,
Cd,Set A (FULL),SVR_RBF,-0.3003116844948698,,,15.778053821808472,,,0.12851782363977488,,
Cd,Set B (CORE),ElasticNet,-2.5527264189555354,,,17.32622142280219,,,0.3463414634146342,,
Cd,Set B (CORE),ExtraTrees,-1.653435383342205,,,15.939097041231326,,,0.3341463414634147,,
Cd,Set B (CORE),GradientBoosting,-3.824304197585643,,,19.272468698797073,,,0.07673545966228894,,
Cd,Set B (CORE),Lasso,-2.7379010938399135,,,17.579162668490504,,,0.3538461538461539,,
Cd,Set B (CORE),RandomForest,-4.085611685255369,,,19.308601722023045,,,-0.014258911819887431,,
Cd,Set B (CORE),Ridge,-2.6796228786649845,,,17.48565073473892,,,0.3587242026266417,,
Cd,Set B (CORE),SVR_RBF,-0.2623379186154288,,,15.698628055890781,,,0.21913696060037527,,
Cd,Set C (pH SENSITIVITY),ElasticNet,-2.7191925942763144,,,17.822384969478595,,,0.25121951219512195,,
Cd,Set C (pH SENSITIVITY),ExtraTrees,-1.7257727222622647,,,16.500492190668854,,,0.2043151969981239,,
Cd,Set C (pH SENSITIVITY),GradientBoosting,-3.037910275853512,,,17.952716810610294,,,0.039024390243902446,,
Cd,Set C (pH SENSITIVITY),Lasso,-2.9291177366096632,,,18.11645783610585,,,0.2427767354596623,,
Cd,Set C (pH SENSITIVITY),RandomForest,-3.401121140309813,,,18.471351045236442,,,-0.14859287054409007,,
Cd,Set C (pH SENSITIVITY),Ridge,-2.8777364533696708,,,18.035220079159856,,,0.2461538461538462,,
Cd,Set C (pH SENSITIVITY),SVR_RBF,-0.2728751745576523,,,15.756311478200017,,,0.09080675422138838,,
