config,model,mean_R2,median_R2,sd_R2,iqr_R2,mean_RMSE,mean_MAE,mean_Spearman,feature_count,target
M2_Core_Salinity,ElasticNet,-0.37068621372755106,-0.12326051797901294,0.6250740514208494,0.4597467003132045,0.9183766249979196,0.6173637989771579,0.4184480249037519,6,Mn_num
M2_Core_Salinity,ExtraTrees,-0.9688035619485338,-0.3034894153292276,1.7212852836526076,0.4152703986422952,0.9807938176367327,0.6867518885639329,0.38952380952380955,6,Mn_num
M2_Core_Salinity,GradientBoosting,-1.0507922868109705,-0.3179311954251298,2.324426909990399,0.5459762181302898,0.9804988921020548,0.6607846741262842,0.3039133629216867,6,Mn_num
M2_Core_Salinity,HuberRegressor,-0.9956210307058602,-0.2297577590472457,2.1088982700636407,0.6518203681857642,0.9774227611084108,0.6406902808606574,0.42816631637064967,6,Mn_num
M2_Core_Salinity,Lasso,-0.2995984141542116,-0.09467400710954399,0.45400374236370483,0.3896921791815815,0.921374196790893,0.6127513743627475,0.41667794702680566,6,Mn_num
M2_Core_Salinity,RandomForest,-1.0551432350370165,-0.18542923952933932,1.8598153682126213,1.1047398381745506,0.970948792119986,0.6829178278347015,0.2914285714285715,6,Mn_num
M2_Core_Salinity,Ridge,-0.852661378857013,-0.19273324682665982,1.5166292580376328,0.6992346128566924,0.9520717518676317,0.6585168207029701,0.43680066557072444,6,Mn_num
M2_Core_Salinity,SVR_RBF,-1.551613803347459,-0.4305017154923163,3.0893861962593423,0.6473554106403328,1.0346431400254459,0.6972452038275724,0.1323809523809524,6,Mn_num
M3_Core_IonRatios,ElasticNet,-0.37475903883120504,-0.14743622924766098,0.611679659622868,0.4524449858571249,0.9211196291549862,0.6196962257164992,0.47559088204660904,8,Mn_num
M3_Core_IonRatios,ExtraTrees,-1.1414156707883931,-0.33091528305708406,1.7216172669602503,1.0213644993327842,1.0379605440664195,0.7304652249177482,0.29333333333333333,8,Mn_num
M3_Core_IonRatios,GradientBoosting,-1.1268469645332506,-0.4710398734013048,1.5121813789988372,1.1624236396852217,1.0474846100077928,0.7296512593680349,0.16048477056191499,8,Mn_num
M3_Core_IonRatios,HuberRegressor,-1.3752111920981873,-0.25480002238280064,2.9688951496065843,0.7372933807672508,1.0197325126020376,0.6630536810184676,0.3695397023783809,8,Mn_num
M3_Core_IonRatios,Lasso,-0.3108100975207904,-0.0954406490921269,0.47154707035711474,0.3883350583690319,0.9228991848665588,0.6153250889407439,0.42010776374347164,8,Mn_num
M3_Core_IonRatios,RandomForest,-1.3952685529587938,-0.3360473244920481,2.491456022931012,0.8633486809405564,1.0362891694226959,0.727378351582061,0.2323809523809524,8,Mn_num
M3_Core_IonRatios,Ridge,-1.1306094442494299,-0.3909442080953065,1.7298223074506178,1.1611127078679964,1.0176051952097986,0.7010445761925626,0.4366911396069626,8,Mn_num
M3_Core_IonRatios,SVR_RBF,-1.6241086398724056,-0.4100317526742445,2.87308875234269,1.0338389289105268,1.0616916180639284,0.7157817486353228,0.12571428571428572,8,Mn_num
M4_Core_IonExchange,ElasticNet,-0.3445772409985274,-0.1318153400767772,0.6212913381732145,0.4958505576444281,0.9107839061135908,0.6117509638229285,0.5137331583829823,6,Mn_num
M4_Core_IonExchange,ExtraTrees,-0.945072245935424,-0.2936156125745917,1.7186119712517591,0.6663854779735412,0.978123587804627,0.6875861865530801,0.3666666666666667,6,Mn_num
M4_Core_IonExchange,GradientBoosting,-0.9003592332215645,-0.3294660538127514,1.2995423748729757,0.6607117124573114,0.9952736311188937,0.6869480674676541,0.14454025682887395,6,Mn_num
M4_Core_IonExchange,HuberRegressor,-1.1693837461013223,-0.20938680515827524,2.496748766721526,0.41314983308112496,0.9917000051490849,0.6363109085238156,0.4319815602373231,6,Mn_num
M4_Core_IonExchange,Lasso,-0.28941430346830593,-0.08449203586727472,0.4605394480707796,0.40495496462513936,0.9175645163628002,0.6146701939402875,0.4496315732672812,6,Mn_num
M4_Core_IonExchange,RandomForest,-1.3661159683152093,-0.2646249893799981,2.4933802473233295,1.220649477221355,0.9926699708427487,0.7086670481481423,0.27619047619047626,6,Mn_num
