target,fold,config,model,transform,feature_count,r2,rmse,mae,spearman_rho
HPI,8,M5_Core_DepthInteractions,RandomForest,LOG1P,7,-0.5926809364317269,36.24978422355443,29.94663030563863,-0.3571428571428572
HPI,8,M5_Core_DepthInteractions,ExtraTrees,LOG1P,7,-0.5225334795659855,35.44250917958162,29.24913358577931,-0.3571428571428572
HPI,8,M5_Core_DepthInteractions,GradientBoosting,LOG1P,7,-0.5724037970163274,36.01828886826263,29.1964183242506,-0.3571428571428572
HPI,8,M6_Core_AllHydrochemical,Ridge,LOG1P,10,-0.4752031762631579,34.88726742316424,30.098657522632966,-0.1666666666666667
HPI,8,M6_Core_AllHydrochemical,Lasso,LOG1P,10,0.010323234697138584,28.575097577690194,22.71429880388943,0.3333333333333334
HPI,8,M6_Core_AllHydrochemical,ElasticNet,LOG1P,10,-0.06973350268406242,29.708370650033174,24.223688988260385,0.11904761904761905
HPI,8,M6_Core_AllHydrochemical,SVR_RBF,LOG1P,10,-0.06510413455324948,29.644018126144594,24.843629464105696,0.07142857142857144
HPI,8,M6_Core_AllHydrochemical,HuberRegressor,LOG1P,10,-1.4013974723761575,44.51158502466333,39.606712696838386,-0.28571428571428575
HPI,8,M6_Core_AllHydrochemical,RandomForest,LOG1P,10,-0.36607461440943534,33.57207969272209,26.473102146729858,-0.2142857142857143
HPI,8,M6_Core_AllHydrochemical,ExtraTrees,LOG1P,10,-0.3404196120466989,33.25534223868084,27.8068964611453,-0.28571428571428575
HPI,8,M6_Core_AllHydrochemical,GradientBoosting,LOG1P,10,-0.5411587590431455,35.65863580547052,28.200674682035007,-0.4285714285714286
HPI,8,M7_TargetSpecific_Selected,Ridge,LOG1P,7,-0.1974588721989723,31.43195093903515,26.21078119140389,0.11904761904761905
HPI,8,M7_TargetSpecific_Selected,Lasso,LOG1P,7,0.010352233998920046,28.574678923854155,22.71185965281628,0.3333333333333334
HPI,8,M7_TargetSpecific_Selected,ElasticNet,LOG1P,7,-0.0776970348578312,29.818746220262394,24.33873927759138,0.11904761904761905
HPI,8,M7_TargetSpecific_Selected,SVR_RBF,LOG1P,7,-0.04714813249906924,29.393079963294397,23.90182333137339,0.14285714285714288
HPI,8,M7_TargetSpecific_Selected,HuberRegressor,LOG1P,7,-0.1856972304147324,31.277205070709265,24.890939505000365,0.1666666666666667
HPI,8,M7_TargetSpecific_Selected,RandomForest,LOG1P,7,-0.2732851457632246,32.411853792889794,25.190436631203706,-0.11904761904761905
HPI,8,M7_TargetSpecific_Selected,ExtraTrees,LOG1P,7,-0.39372839560738804,33.91018109203136,28.55808728104511,-0.28571428571428575
HPI,8,M7_TargetSpecific_Selected,GradientBoosting,LOG1P,7,-0.4655861586068786,34.773364446536746,27.015113027026437,-0.4285714285714286
HPI,9,M1_Core,Ridge,LOG1P,5,-0.11552708314927429,122.34507142496942,73.1134313477877,-0.023809523809523815
HPI,9,M1_Core,Lasso,LOG1P,5,-0.14181686752904743,123.77833789413499,74.34606065133366,0.2142857142857143
HPI,9,M1_Core,ElasticNet,LOG1P,5,-0.11772037667443391,122.46528674203448,73.13923422340096,0.28571428571428575
HPI,9,M1_Core,SVR_RBF,LOG1P,5,-0.25658212293852434,129.84997127581335,71.96745947701842,-0.261904761904762
HPI,9,M1_Core,HuberRegressor,LOG1P,5,-0.1489330944309899,124.16345507046054,74.3689372803087,-0.07142857142857144
